Title,search_url
Abduction,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Abduction
American Outlaws,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=American%20Outlaws
Bad Teacher,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Bad%20Teacher
Black Holes | The Edge of All We Know,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Black%20Holes%20|%20The%20Edge%20of%20All%20We%20Know
Cradle 2 the Grave,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Cradle%202%20the%20Grave
Flipped,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Flipped
Fools Rush In,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Fools%20Rush%20In
Gold Statue,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Gold%20Statue
I Am Sam,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=I%20Am%20Sam
Love Jones,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Love%20Jones
Million Dollar Baby,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Million%20Dollar%20Baby
Ninja Assassin,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Ninja%20Assassin
Sniper: Legacy,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Sniper:%20Legacy
Stand by Me,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Stand%20by%20Me
Super Monsters: Once Upon a Rhyme,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Super%20Monsters:%20Once%20Upon%20a%20Rhyme
The Best Man,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Best%20Man
The Big Lebowski,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Big%20Lebowski
The Meddler,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Meddler
The Terminal,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Terminal
The Wedding Guest,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Wedding%20Guest
The Wind,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Wind
Welcome Home,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Welcome%20Home
2 Hearts,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=2%20Hearts
Carnaval,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Carnaval
 ,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=%20
Alan Saldaña: Locked Up,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Alan%20Saldaña:%20Locked%20Up
Dancing Queens,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Dancing%20Queens
Myriam Fares: The Journey,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Myriam%20Fares:%20The%20Journey
The Girl and the Gun,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Girl%20and%20the%20Gun
Breaking Boundaries: The Science of Our Planet,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Breaking%20Boundaries:%20The%20Science%20of%20Our%20Planet
Sweet & Sour,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Sweet%20&%20Sour
Trippin’ with the Kandasamys,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Trippin’%20with%20the%20Kandasamys
Xtremo,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Xtremo
Kitty Love: An Homage to Cats,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Kitty%20Love:%20An%20Homage%20to%20Cats
Small Chops,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Small%20Chops
Vampire Academy,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Vampire%20Academy
Awake,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Awake
Tragic Jungle,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Tragic%20Jungle
A Haunted House 2,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=A%20Haunted%20House%202
Camellia Sisters,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Camellia%20Sisters
Skater Girl,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Skater%20Girl
Wish Dragon,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Wish%20Dragon
Love New Episode,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Love%20New%20Episode
Picture a Scientist,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Picture%20a%20Scientist
The Devil Below,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Devil%20Below
FTA,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=FTA
Headspace: Unwind Your Mind,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Headspace:%20Unwind%20Your%20Mind
Life of Crime,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Life%20of%20Crime
Rogue Warfare: Death of a Nation,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Rogue%20Warfare:%20Death%20of%20a%20Nation
Sir! No Sir!,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Sir!%20No%20Sir!
The Reason I Jump,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Reason%20I%20Jump
A Man For The Week End,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=A%20Man%20For%20The%20Week%20End
Biking Borders,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Biking%20Borders
Lowriders,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Lowriders
Security,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Security
Silver Skates,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Silver%20Skates
Ali & Ratu Ratu Queens,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Ali%20&%20Ratu%20Ratu%20Queens
Aziza,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Aziza
Fan Girl,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Fan%20Girl
Silver Linings Playbook,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Silver%20Linings%20Playbook
A Family,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=A%20Family
Fatherhood,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Fatherhood
Including:,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Including:
Jagame Thandhiram,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Jagame%20Thandhiram
Kambili: The Whole 30 Yards,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Kambili:%20The%20Whole%2030%20Yards
Mobile Suit Gundam I,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Mobile%20Suit%20Gundam%20I
Mobile Suit Gundam II: Soldiers of Sorrow,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Mobile%20Suit%20Gundam%20II:%20Soldiers%20of%20Sorrow
Mobile Suit Gundam III: Encounters in Space,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Mobile%20Suit%20Gundam%20III:%20Encounters%20in%20Space
Mobile Suit Gundam: Char’s Counterattack,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Mobile%20Suit%20Gundam:%20Char’s%20Counterattack
Rurouni Kenshin: The Final,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Rurouni%20Kenshin:%20The%20Final
Broken,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Broken
Good on Paper,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Good%20on%20Paper
Murder by the Coast,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Murder%20by%20the%20Coast
Osuofia in London & Osuofia in London 2,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Osuofia%20in%20London%20&%20Osuofia%20in%20London%202
The House of Flowers: The Movie,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20House%20of%20Flowers:%20The%20Movie
Sisters on Track,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Sisters%20on%20Track
The Seventh Day,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Seventh%20Day
The Ice Road,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Ice%20Road
Wonder Boy,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Wonder%20Boy
A Way Back Home,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=A%20Way%20Back%20Home
Killing Them Softly,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Killing%20Them%20Softly
The Seven Deadly Sins: Dragon’s Judgement,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Seven%20Deadly%20Sins:%20Dragon’s%20Judgement
America: The Motion Picture,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=America:%20The%20Motion%20Picture
Deranged,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Deranged
Lying and Stealing,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Lying%20and%20Stealing
Mommy Issues,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Mommy%20Issues
Prime Time,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Prime%20Time
Ben & Holly’s Little Kingdom,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Ben%20&%20Holly’s%20Little%20Kingdom
CoComelon,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=CoComelon
Downton Abbey,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Downton%20Abbey
Happy Endings,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Happy%20Endings
Seven Souths in the Skull Castle,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Seven%20Souths%20in%20the%20Skull%20Castle
The Adventures of Sonic the Hedgehog,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Adventures%20of%20Sonic%20the%20Hedgehog
The Platform,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Platform
Alone,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Alone
Kim’s Convenience,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Kim’s%20Convenience
Creator’s File: GOLD,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Creator’s%20File:%20GOLD
Pretty Guardian Sailor Moon Eternal The Movie,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Pretty%20Guardian%20Sailor%20Moon%20Eternal%20The%20Movie
Summertime,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Summertime
Feel Good,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Feel%20Good
Human: The World Within,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Human:%20The%20World%20Within
Sweet Tooth,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Sweet%20Tooth
"Fresh, Fried and Crispy","https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Fresh,%20Fried%20and%20Crispy"
L.A.’s Finest,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=L.A.’s%20Finest
Locombians,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Locombians
Manifest,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Manifest
Trese,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Trese
Lupin,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Lupin
Elite Short Stories: Guzman Caye Rebe,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Elite%20Short%20Stories:%20Guzman%20Caye%20Rebe
Beyond Evil,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Beyond%20Evil
Elite Short Stories: Nadia Guzman,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Elite%20Short%20Stories:%20Nadia%20Guzman
Let’s Eat,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Let’s%20Eat
Power Rangers Dino Fury,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Power%20Rangers%20Dino%20Fury
Rhyme Time Town,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Rhyme%20Time%20Town
The American Bible Challenge,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20American%20Bible%20Challenge
Workin’ Moms,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Workin’%20Moms
Black Lightning,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Black%20Lightning
Elite Short Stories: Omar Ander Alexis,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Elite%20Short%20Stories:%20Omar%20Ander%20Alexis
Millennials,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Millennials
Penguin Town,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Penguin%20Town
Record of Ragnarok,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Record%20of%20Ragnarok
Black Summer,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Black%20Summer
Elite Short Stories: Carla Samuel,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Elite%20Short%20Stories:%20Carla%20Samuel
Hospital Playlist,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Hospital%20Playlist
Katla,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Katla
The Gift,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Gift
Elite,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Elite
So Not Worth It,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=So%20Not%20Worth%20It
The Rational Life,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Rational%20Life
The World’s Most Amazing Vacation Rentals,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20World’s%20Most%20Amazing%20Vacation%20Rentals
Nevertheless,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Nevertheless
The Mole,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Mole
This Is Pop,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=This%20Is%20Pop
The Parisian Agency: Exclusive Properties,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Parisian%20Agency:%20Exclusive%20Properties
Too Hot to Handle,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Too%20Hot%20to%20Handle
Godzilla Singular Point,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Godzilla%20Singular%20Point
Jiva!,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Jiva!
The Naked Director,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Naked%20Director
Ray,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Ray
Sex/Life,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Sex/Life
The A List,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20A%20List
StarBeam,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=StarBeam
Somos,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Somos
Sophie: A Murder in West Cork,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=Sophie:%20A%20Murder%20in%20West%20Cork
The Daily Life of the Immortal King,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Daily%20Life%20of%20the%20Immortal%20King
The Unknown: Legend of Exorcist Zhong Kui,https://www.rottentomatoes.com/api/private/v2.0/search/?limit=20&q=The%20Unknown:%20Legend%20of%20Exorcist%20Zhong%20Kui
